date,sleep_hours,work_hours,screen_time,tasks_planned,tasks_completed,exercise_minutes,break_minutes,meetings,social_media_minutes,mood_score,previous_productivity,productivity_score,task_completion_rate,disruption_risk
2026-03-26,5.8,5.0,3.6,4,3,60,58,0,34.0,10,48.3,75.95,0.75,MEDIUM
2026-03-27,6.2,8.8,7.5,6,3,0,48,3,81.0,6,75.95,47.67,0.5,MEDIUM
2026-03-28,8.4,7.6,3.6,7,4,30,101,4,95.0,1,47.67,56.59,0.57,HIGH
2026-03-29,7.5,6.0,2.9,5,2,60,69,2,34.0,9,56.59,87.82,0.4,LOW
2026-03-30,6.2,8.3,5.9,9,4,30,40,1,69.0,6,87.82,58.09,0.44,MEDIUM
2026-03-31,7.8,11.0,8.0,5,1,30,41,0,0.0,10,58.09,69.28,0.2,HIGH
2026-04-01,7.1,4.5,7.7,2,1,60,103,1,2.0,6,69.28,49.45,0.5,MEDIUM
2026-04-02,8.5,6.9,8.2,5,2,30,57,5,0.0,4,49.45,52.78,0.4,HIGH
2026-04-03,5.9,5.2,8.3,8,7,45,47,2,69.0,10,52.78,56.55,0.88,HIGH
2026-04-04,6.5,4.1,9.1,5,2,0,51,3,98.0,6,56.55,35.46,0.4,HIGH
2026-04-05,6.4,4.1,5.5,4,3,0,117,5,33.0,2,35.46,50.82,0.75,HIGH
2026-04-06,4.8,9.2,3.9,3,0,0,97,5,103.0,10,50.82,70.4,0.0,HIGH
2026-04-07,7.4,2.4,2.9,9,5,90,24,1,107.0,5,70.4,55.96,0.56,MEDIUM
2026-04-08,7.4,7.0,8.0,5,3,30,10,5,58.0,2,55.96,42.91,0.6,HIGH
2026-04-09,7.0,4.3,4.6,9,8,60,103,5,40.0,8,42.91,65.44,0.89,LOW
2026-04-10,6.6,9.5,2.7,2,1,0,22,5,25.0,5,65.44,72.71,0.5,MEDIUM
2026-04-11,4.9,5.5,6.3,3,2,0,41,4,0.0,10,72.71,68.22,0.67,HIGH
2026-04-12,6.4,5.3,1.4,6,4,45,26,0,44.0,9,68.22,85.09,0.67,MEDIUM
2026-04-13,6.5,9.1,2.3,2,1,30,84,4,31.0,2,85.09,60.95,0.5,HIGH
2026-04-14,5.8,7.8,5.5,8,5,0,28,1,37.0,4,60.95,53.14,0.62,MEDIUM
2026-04-15,6.8,7.1,7.2,6,5,15,82,1,72.0,5,53.14,46.87,0.83,MEDIUM
2026-04-16,7.6,7.6,4.2,8,7,0,51,5,59.0,9,46.87,78.68,0.88,LOW
2026-04-17,9.8,3.8,4.4,2,1,0,106,1,108.0,10,78.68,81.02,0.5,LOW
2026-04-18,7.3,7.5,7.0,7,4,60,40,3,0.0,1,81.02,53.35,0.57,HIGH
2026-04-19,7.4,5.6,7.1,3,2,45,109,3,42.0,9,53.35,67.06,0.67,MEDIUM
2026-04-20,6.9,6.7,1.0,5,1,0,77,4,66.0,5,67.06,62.16,0.2,MEDIUM
2026-04-21,4.1,7.0,8.7,8,4,0,43,1,128.0,5,62.16,23.04,0.5,HIGH
2026-04-22,7.0,3.8,4.2,1,0,60,25,1,56.0,6,23.04,44.95,0.0,LOW
2026-04-23,7.1,7.2,3.1,1,0,45,19,1,72.0,8,44.95,77.5,0.0,LOW
2026-04-24,10.0,5.6,3.8,1,0,90,37,4,32.0,8,77.5,79.1,0.0,LOW
2026-04-25,6.7,3.5,1.6,9,7,30,66,3,52.0,5,79.1,69.65,0.78,MEDIUM
2026-04-26,7.5,5.7,11.4,2,1,0,85,1,39.0,7,69.65,39.88,0.5,HIGH
2026-04-27,6.9,6.0,1.7,4,1,15,21,4,59.0,10,39.88,75.34,0.25,LOW
2026-04-28,5.2,7.2,1.3,7,3,45,86,2,58.0,2,75.34,64.36,0.43,HIGH
2026-04-29,8.7,1.2,4.3,5,3,45,37,5,80.0,9,64.36,72.84,0.6,LOW
2026-04-30,8.1,6.8,1.6,6,2,0,97,2,115.0,2,72.84,63.29,0.33,HIGH
2026-05-01,8.2,5.0,5.3,7,5,0,40,3,44.0,9,63.29,69.02,0.71,LOW
2026-05-02,5.6,7.6,9.1,4,3,0,109,3,36.0,3,69.02,29.43,0.75,HIGH
2026-05-03,9.1,6.0,5.4,9,6,30,45,5,131.0,8,29.43,70.29,0.67,LOW
2026-05-04,4.9,5.3,5.8,6,3,0,20,5,84.0,8,70.29,39.95,0.5,HIGH
2026-05-05,7.9,5.6,4.3,1,0,90,118,5,65.0,2,39.95,46.98,0.0,HIGH
2026-05-06,10.0,6.7,2.4,9,6,60,49,1,114.0,9,46.98,96.27,0.67,LOW
2026-05-07,5.5,7.8,4.3,8,4,30,87,3,88.0,8,96.27,66.97,0.5,MEDIUM
2026-05-08,6.2,4.2,7.6,3,1,0,13,2,82.0,5,66.97,38.48,0.33,MEDIUM
2026-05-09,7.1,5.3,8.4,7,5,0,25,2,59.0,7,38.48,50.8,0.71,HIGH
2026-05-10,6.2,8.9,5.1,6,2,0,66,1,120.0,6,50.8,68.19,0.33,MEDIUM
2026-05-11,4.7,5.3,7.2,1,0,0,110,5,1.0,3,68.19,26.27,0.0,HIGH
2026-05-12,7.1,6.7,3.1,8,3,30,112,5,34.0,7,26.27,73.89,0.38,LOW
2026-05-13,5.4,3.5,3.5,7,6,0,110,3,41.0,6,73.89,56.23,0.86,MEDIUM
2026-05-14,7.7,2.6,1.0,5,3,60,119,5,94.0,1,56.23,60.72,0.6,HIGH
2026-05-15,5.6,3.9,7.8,8,6,45,50,3,77.0,9,60.72,57.89,0.75,MEDIUM
2026-05-16,9.3,4.6,3.6,2,1,0,70,4,1.0,7,57.89,75.73,0.5,LOW
2026-05-17,5.8,8.1,1.7,4,1,15,97,1,2.0,9,75.73,65.65,0.25,MEDIUM
2026-05-18,6.5,8.3,6.3,5,2,90,79,0,12.0,5,65.65,69.78,0.4,MEDIUM
2026-05-19,8.2,2.1,8.4,9,6,0,61,3,55.0,6,69.78,50.46,0.67,HIGH
2026-05-20,5.2,4.9,4.1,3,2,90,66,5,89.0,9,50.46,56.3,0.67,MEDIUM
2026-05-21,7.3,7.4,1.0,3,1,15,68,5,71.0,3,56.3,56.67,0.33,HIGH
2026-05-22,9.0,5.8,4.2,4,3,0,66,1,67.0,8,56.67,67.41,0.75,LOW
2026-05-23,4.6,9.0,5.6,7,4,30,119,0,38.0,2,67.41,40.98,0.57,HIGH
2026-05-24,7.3,7.3,6.5,1,0,90,88,5,117.0,9,40.98,68.84,0.0,MEDIUM
2026-05-25,7.4,5.5,6.9,2,0,0,87,0,33.0,10,68.84,51.9,0.0,MEDIUM
2026-05-26,8.2,5.6,5.2,4,3,30,112,3,49.0,2,51.9,52.57,0.75,HIGH
2026-05-27,5.1,5.9,4.4,9,3,0,92,2,29.0,8,52.57,48.58,0.33,MEDIUM
2026-05-28,5.0,4.3,6.7,9,5,0,106,0,51.0,8,48.58,46.02,0.56,MEDIUM
2026-05-29,7.8,7.9,1.7,1,0,0,62,0,44.0,3,46.02,59.59,0.0,HIGH
2026-05-30,7.4,7.5,2.6,6,2,30,96,4,18.0,5,59.59,71.7,0.33,MEDIUM
2026-05-31,7.4,6.9,3.2,9,5,45,89,3,84.0,1,71.7,54.78,0.56,HIGH
2026-06-01,7.5,6.5,3.9,3,1,0,83,4,0.0,7,54.78,66.28,0.33,LOW
2026-06-02,6.0,4.0,1.5,7,5,0,54,5,40.0,6,66.28,66.29,0.71,MEDIUM
2026-06-03,7.3,7.0,7.4,3,2,30,114,3,12.0,1,66.29,53.87,0.67,HIGH
2026-06-04,7.4,6.3,2.0,8,6,45,11,5,81.0,2,53.87,59.96,0.75,HIGH
2026-06-05,5.9,10.0,1.0,6,3,0,89,4,21.0,6,59.96,74.4,0.5,MEDIUM
2026-06-06,9.8,3.4,7.5,1,0,60,74,4,0.0,5,74.4,51.44,0.0,MEDIUM
2026-06-07,7.7,4.6,6.3,9,8,0,87,2,31.0,3,51.44,46.61,0.89,HIGH
2026-06-08,5.2,2.8,4.8,9,3,90,89,0,7.0,7,46.61,51.72,0.33,MEDIUM
2026-06-09,8.0,5.6,6.2,6,4,0,56,5,85.0,4,51.72,69.17,0.67,MEDIUM
2026-06-10,5.5,2.5,5.3,7,6,0,79,3,25.0,7,69.17,48.52,0.86,MEDIUM
2026-06-11,8.2,8.4,7.9,1,0,0,77,3,148.0,10,48.52,51.75,0.0,MEDIUM
2026-06-12,8.7,8.2,3.1,4,1,45,75,1,107.0,5,51.75,73.53,0.25,MEDIUM
2026-06-13,5.8,5.7,9.3,6,5,45,102,2,63.0,5,73.53,44.63,0.83,HIGH
2026-06-14,8.4,4.0,7.4,6,5,60,42,1,41.0,3,44.63,51.98,0.83,HIGH
2026-06-15,7.6,3.0,3.5,2,1,0,82,2,86.0,4,51.98,55.48,0.5,MEDIUM
2026-06-16,8.2,4.6,3.1,9,5,30,52,0,50.0,5,55.48,66.66,0.56,MEDIUM
2026-06-17,9.8,7.3,5.4,6,5,30,15,0,0.0,3,66.66,72.04,0.83,HIGH
2026-06-18,6.6,4.4,2.2,8,6,60,73,2,110.0,3,72.04,57.89,0.75,HIGH
2026-06-19,5.9,9.8,4.5,4,2,60,45,3,82.0,1,57.89,50.92,0.5,HIGH
2026-06-20,5.7,9.0,8.4,1,0,30,28,2,51.0,2,50.92,25.94,0.0,HIGH
2026-06-21,5.8,6.0,5.5,6,3,30,90,3,101.0,6,25.94,54.62,0.5,MEDIUM
2026-06-22,6.9,5.1,10.2,5,2,0,82,2,19.0,10,54.62,53.85,0.4,HIGH
2026-06-23,7.5,4.9,3.1,9,8,30,10,5,40.0,3,53.85,62.01,0.89,HIGH
2026-06-24,7.4,9.2,6.1,8,6,30,64,3,48.0,10,62.01,77.14,0.75,MEDIUM
2026-06-25,8.2,4.7,3.7,5,2,30,48,0,108.0,10,77.14,74.12,0.4,LOW
2026-06-26,7.0,7.9,4.5,3,2,90,57,2,76.0,9,74.12,90.86,0.67,LOW
2026-06-27,9.2,6.0,6.3,1,0,30,110,2,122.0,1,90.86,45.26,0.0,HIGH
2026-06-28,6.6,7.4,3.2,6,5,30,22,2,10.0,5,45.26,69.04,0.83,MEDIUM
2026-06-29,10.0,4.4,2.8,4,2,15,39,5,54.0,6,69.04,76.55,0.5,LOW
2026-06-30,7.9,5.3,3.8,1,0,45,89,1,45.0,9,76.55,73.59,0.0,LOW
2026-07-01,5.7,6.0,3.7,2,1,0,111,4,15.0,1,73.59,38.03,0.5,HIGH
2026-07-02,5.4,4.7,2.5,9,4,45,50,5,118.0,7,38.03,60.28,0.44,MEDIUM
2026-07-03,7.7,8.5,8.6,8,7,0,17,2,51.0,4,60.28,58.68,0.88,HIGH
2026-07-04,6.7,4.5,4.2,3,1,0,49,5,19.0,3,58.68,46.61,0.33,HIGH
2026-07-05,8.1,4.8,7.1,4,2,60,114,3,121.0,9,46.61,58.94,0.5,MEDIUM
2026-07-06,7.7,8.7,6.9,9,3,15,23,1,81.0,7,58.94,56.96,0.33,MEDIUM
2026-07-07,6.9,8.3,7.6,5,2,15,57,1,2.0,6,56.96,61.86,0.4,MEDIUM
2026-07-08,5.7,9.2,1.7,7,6,0,16,2,29.0,9,61.86,87.04,0.86,MEDIUM
2026-07-09,4.7,2.2,4.1,3,2,0,58,0,45.0,7,87.04,54.74,0.67,HIGH
2026-07-10,6.3,6.4,6.7,9,5,15,28,0,82.0,6,54.74,50.01,0.56,MEDIUM
2026-07-11,8.3,6.2,3.5,8,6,45,40,5,51.0,7,50.01,81.86,0.75,LOW
2026-07-12,7.3,4.9,8.7,3,1,30,104,0,105.0,4,81.86,39.65,0.33,HIGH
2026-07-13,5.1,6.6,1.9,7,3,45,73,0,108.0,9,39.65,73.25,0.43,MEDIUM
2026-07-14,7.3,5.4,7.1,8,5,0,66,5,80.0,3,73.25,44.64,0.62,HIGH
2026-07-15,7.6,6.3,3.9,6,2,90,97,1,43.0,4,44.64,76.79,0.33,MEDIUM
2026-07-16,5.7,12.0,7.6,4,2,15,106,1,23.0,10,76.79,72.0,0.5,MEDIUM
2026-07-17,7.2,6.6,5.7,2,1,90,56,1,40.0,7,72.0,65.27,0.5,LOW
2026-07-18,7.1,6.7,2.9,3,2,30,80,3,15.0,4,65.27,61.78,0.67,MEDIUM
2026-07-19,5.3,7.6,7.0,5,4,0,63,3,101.0,6,61.78,54.58,0.8,MEDIUM
2026-07-20,7.5,6.4,1.0,7,2,0,43,1,33.0,8,54.58,85.5,0.29,LOW
2026-07-21,7.8,3.8,4.1,3,1,0,104,2,79.0,1,85.5,44.36,0.33,HIGH
2026-07-22,8.6,2.7,3.9,7,2,30,30,5,94.0,10,44.36,66.51,0.29,LOW
2026-07-23,8.6,5.9,6.1,6,5,90,40,2,15.0,4,66.51,57.36,0.83,MEDIUM
2026-07-24,4.9,5.5,1.0,5,2,45,94,2,27.0,6,57.36,66.64,0.4,HIGH
2026-07-25,5.6,2.1,5.6,4,3,45,76,3,11.0,6,66.64,49.38,0.75,MEDIUM
2026-07-26,7.8,9.3,5.9,5,4,0,103,1,26.0,4,49.38,63.24,0.8,MEDIUM
2026-07-27,7.8,6.2,3.0,1,0,0,62,1,21.0,7,63.24,64.28,0.0,LOW
2026-07-28,7.8,8.9,4.2,2,1,90,37,3,60.0,9,64.28,83.39,0.5,LOW
2026-07-29,10.0,1.5,5.1,9,6,0,88,1,59.0,2,83.39,51.74,0.67,HIGH
2026-07-30,7.9,8.9,7.4,3,2,0,60,1,54.0,1,51.74,49.6,0.67,HIGH
2026-07-31,8.7,5.0,1.0,7,5,45,27,5,139.0,10,49.6,85.27,0.71,LOW
2026-08-01,8.4,8.5,4.9,2,1,15,28,0,0.0,8,85.27,75.65,0.5,LOW
2026-08-02,8.0,6.4,6.2,3,1,30,98,2,16.0,7,75.65,63.16,0.33,MEDIUM
2026-08-03,6.5,6.9,6.6,2,1,60,30,3,100.0,5,63.16,49.26,0.5,MEDIUM
2026-08-04,8.1,6.9,4.5,7,6,45,10,2,36.0,10,49.26,85.6,0.86,LOW
2026-08-05,5.8,5.1,6.4,8,5,90,50,5,151.0,5,85.6,53.42,0.62,MEDIUM
2026-08-06,6.6,4.7,4.8,3,2,0,74,1,64.0,4,53.42,45.02,0.67,MEDIUM
2026-08-07,6.3,5.3,7.8,7,5,30,72,0,48.0,9,45.02,54.81,0.71,MEDIUM
2026-08-08,7.1,3.1,2.9,3,2,45,94,3,10.0,6,54.81,57.5,0.67,LOW
2026-08-09,10.0,5.0,3.3,7,5,30,80,5,128.0,7,57.5,75.73,0.71,LOW
2026-08-10,4.2,4.6,6.2,4,2,0,27,5,12.0,10,75.73,62.4,0.5,HIGH
2026-08-11,8.0,3.0,6.6,7,5,60,99,1,120.0,8,62.4,60.76,0.71,MEDIUM
2026-08-12,4.6,6.9,6.3,4,1,60,22,2,72.0,1,60.76,33.1,0.25,HIGH
2026-08-13,6.3,6.0,3.9,7,4,0,64,1,29.0,5,33.1,59.28,0.57,MEDIUM
2026-08-14,8.6,6.5,4.0,7,2,0,39,1,121.0,4,59.28,61.32,0.29,MEDIUM
2026-08-15,7.1,7.4,5.0,3,2,30,21,5,102.0,9,61.32,75.42,0.67,LOW
2026-08-16,5.4,5.5,2.2,5,2,0,64,3,126.0,7,75.42,55.36,0.4,MEDIUM
2026-08-17,5.9,4.1,3.0,5,4,30,40,0,81.0,4,55.36,64.09,0.8,MEDIUM
2026-08-18,8.0,6.6,8.7,2,1,45,15,2,1.0,8,64.09,68.02,0.5,HIGH
2026-08-19,5.9,0.2,4.6,3,1,30,15,4,20.0,1,68.02,24.69,0.33,HIGH
2026-08-20,7.3,5.8,3.7,1,0,0,100,5,81.0,9,24.69,60.47,0.0,LOW
2026-08-21,7.1,7.5,3.6,7,2,0,52,1,80.0,3,60.47,44.07,0.29,HIGH
2026-08-22,6.0,8.1,5.7,9,4,0,28,2,138.0,2,44.07,46.38,0.44,HIGH
2026-08-23,10.0,4.9,10.3,5,3,0,40,3,0.0,5,46.38,56.57,0.6,HIGH
2026-08-24,8.0,1.5,7.9,9,6,0,119,3,133.0,6,56.57,46.67,0.67,MEDIUM
2026-08-25,4.0,0.7,1.7,4,2,45,102,0,120.0,10,46.67,63.57,0.5,HIGH
2026-08-26,7.3,7.3,8.2,4,3,0,63,0,13.0,9,63.57,67.24,0.75,HIGH
2026-08-27,6.0,5.3,2.9,5,4,30,91,2,86.0,4,67.24,54.62,0.8,MEDIUM
2026-08-28,8.3,10.0,3.4,7,3,0,33,3,0.0,7,54.62,80.6,0.43,LOW
2026-08-29,5.8,3.2,3.8,8,6,0,30,0,63.0,7,80.6,60.13,0.75,MEDIUM
2026-08-30,6.8,6.7,2.1,7,5,0,52,3,101.0,7,60.13,74.41,0.71,LOW
2026-08-31,7.8,9.3,8.2,8,4,30,86,4,26.0,6,74.41,55.86,0.5,HIGH
2026-09-01,8.3,6.4,3.6,2,1,15,105,2,74.0,10,55.86,79.25,0.5,LOW
2026-09-02,5.2,2.8,1.0,4,1,0,27,1,57.0,3,79.25,34.43,0.25,HIGH
2026-09-03,6.5,11.5,2.9,4,2,30,69,5,58.0,6,34.43,76.01,0.5,MEDIUM
2026-09-04,6.3,9.2,5.5,4,3,15,77,2,72.0,9,76.01,73.0,0.75,MEDIUM
2026-09-05,6.0,5.5,1.0,5,2,0,46,2,110.0,8,73.0,77.97,0.4,MEDIUM
2026-09-06,9.6,7.6,5.7,1,0,0,16,0,75.0,4,77.97,56.36,0.0,MEDIUM
2026-09-07,7.6,7.7,2.8,4,3,30,67,1,10.0,9,56.36,90.04,0.75,LOW
2026-09-08,5.1,7.3,7.8,9,7,0,19,1,15.0,3,90.04,42.9,0.78,HIGH
2026-09-09,8.4,3.2,6.1,7,2,0,118,5,30.0,5,42.9,47.45,0.29,MEDIUM
2026-09-10,10.0,6.6,5.2,7,6,0,62,4,69.0,2,47.45,59.72,0.86,HIGH
2026-09-11,8.5,8.9,1.1,5,3,45,89,1,61.0,3,59.72,75.9,0.6,HIGH
2026-09-12,4.7,7.0,1.8,8,2,0,92,1,38.0,4,75.9,55.0,0.25,HIGH
2026-09-13,6.3,6.8,3.6,5,3,15,45,3,50.0,10,55.0,74.35,0.6,MEDIUM
2026-09-14,8.9,4.9,4.4,6,4,90,95,5,50.0,6,74.35,64.44,0.67,LOW
2026-09-15,5.9,4.2,8.8,7,3,0,85,3,57.0,3,64.44,23.56,0.43,HIGH
2026-09-16,7.7,2.9,5.7,1,0,0,50,5,0.0,8,23.56,54.18,0.0,LOW
2026-09-17,8.2,7.5,4.0,8,4,15,21,4,146.0,5,54.18,67.4,0.5,MEDIUM
2026-09-18,5.6,5.6,8.7,4,2,60,13,3,11.0,1,67.4,26.38,0.5,HIGH
2026-09-19,6.9,3.3,4.8,9,5,30,60,4,77.0,3,26.38,50.54,0.56,HIGH
