sleep_hours,work_hours,screen_time,exercise_minutes,mood_score,productivity_score,burnout_risk
7.7,8.5,5.3,90,1,78.2,Medium
5.7,4.0,3.4,45,8,76.5,Low
9.2,7.6,4.8,30,6,89.9,Low
5.9,8.6,3.0,60,3,81.2,Medium
6.5,9.1,1.4,15,10,91.3,Low
8.1,6.0,8.5,90,7,75.3,Low
5.3,6.1,2.8,0,6,73.5,Medium
7.3,6.2,5.6,0,5,66.7,Medium
8.8,8.7,7.9,30,3,73.1,Medium
4.7,9.8,4.5,15,4,60.8,High
7.3,6.6,3.9,30,1,67.8,Medium
7.4,9.5,6.6,15,9,79.6,Medium
8.1,7.8,8.8,30,5,74.3,Medium
5.3,7.2,3.1,0,2,57.9,High
5.2,7.0,5.6,0,9,78.0,Medium
7.7,9.1,1.7,60,7,100.0,Low
7.4,8.2,5.0,60,8,88.6,Low
7.4,12.5,6.1,90,3,66.5,High
7.5,5.6,3.9,45,7,82.7,Low
6.0,8.6,4.9,30,1,61.0,High
7.3,6.3,2.5,30,6,73.9,Low
7.4,5.6,6.2,0,10,81.5,Low
6.0,7.5,8.6,0,6,61.8,High
9.6,7.8,3.3,0,10,100.0,Low
7.7,13.9,4.4,60,6,77.9,High
5.3,7.1,7.3,0,3,53.8,High
7.9,5.0,9.0,60,6,70.2,Low
5.6,8.1,2.3,30,3,67.7,Medium
8.1,2.9,5.6,45,10,81.8,Low
8.6,7.3,6.7,0,9,85.7,Low
5.9,7.5,5.7,0,7,74.9,Medium
8.3,9.2,1.0,90,4,90.2,Low
7.6,9.6,7.3,0,3,61.8,High
8.2,6.4,9.8,0,6,71.6,Medium
9.7,7.2,6.3,0,9,81.3,Low
6.7,5.8,3.4,0,3,63.1,Medium
5.9,5.0,4.7,0,8,63.0,Low
5.8,8.2,10.4,30,6,62.0,High
5.9,4.7,8.3,30,4,55.1,Medium
6.9,6.6,7.6,30,5,64.4,Medium
7.5,5.3,6.9,0,3,60.5,Medium
7.4,8.7,4.3,45,2,77.0,Medium
8.2,11.5,5.5,45,9,90.2,Medium
7.0,4.6,5.8,0,3,53.3,Medium
9.0,3.4,7.4,15,6,69.3,Low
6.6,7.2,9.8,0,5,64.7,Medium
10.8,7.5,8.8,45,10,94.1,Low
7.9,8.0,2.5,45,8,100.0,Low
5.8,6.5,6.6,60,5,62.5,Medium
5.5,7.1,7.8,0,8,61.8,Medium
7.7,8.3,7.5,30,5,68.5,Medium
6.7,9.8,4.4,0,10,86.5,Medium
8.0,3.2,13.3,15,6,52.9,Medium
7.7,6.7,2.8,30,5,73.9,Low
6.9,8.0,3.3,0,2,72.2,Medium
5.8,5.5,6.6,45,10,78.3,Low
4.9,11.3,11.3,30,10,58.3,High
6.4,6.1,3.9,45,6,79.5,Low
8.2,7.4,5.3,0,7,80.8,Medium
7.3,8.7,8.7,60,3,74.2,High
5.3,6.2,6.0,90,3,65.4,Medium
7.2,3.4,5.2,60,7,74.1,Low
7.5,6.6,7.4,45,10,89.6,Low
5.8,9.8,6.7,45,4,68.8,High
7.2,6.8,8.6,30,2,61.9,High
7.1,5.6,9.2,0,9,73.2,Low
5.4,9.5,6.8,30,9,81.9,Medium
7.5,6.8,6.7,45,6,81.4,Low
7.8,6.4,6.5,90,2,73.2,Medium
8.5,7.8,7.2,30,3,69.4,Medium
8.5,9.2,6.1,0,5,79.9,Medium
5.1,12.7,6.0,30,5,56.3,High
5.7,9.3,9.0,90,9,80.6,Medium
7.7,10.1,9.8,0,10,75.1,Medium
7.7,6.4,2.2,15,3,77.0,Low
7.7,5.2,6.0,30,2,64.9,Medium
11.0,7.6,4.3,0,10,100.0,Low
7.8,7.7,5.2,0,8,79.8,Low
8.6,5.1,7.0,15,7,78.9,Low
8.3,7.1,7.7,60,9,93.7,Low
7.9,8.4,5.7,0,3,74.9,High
6.6,8.3,1.2,15,6,89.8,Medium
8.1,8.6,3.6,45,5,89.6,Low
5.9,8.1,8.2,90,5,69.0,Low
6.7,6.4,1.0,90,10,100.0,Low
6.3,6.4,9.0,15,8,76.3,Medium
7.1,4.9,7.3,90,1,54.8,Medium
10.2,11.4,9.3,0,1,51.6,High
4.4,7.5,5.5,45,3,60.3,High
8.0,7.0,1.0,30,2,82.6,Low
4.7,5.5,7.1,0,2,43.3,High
6.3,14.0,9.2,30,2,49.7,High
8.5,5.1,8.3,0,4,56.4,Low
7.1,6.6,4.3,60,1,60.1,Medium
5.5,8.4,6.2,15,10,87.7,Medium
6.0,8.8,4.7,30,9,79.8,Medium
8.0,9.6,4.0,0,5,78.6,Medium
6.0,11.5,8.4,0,5,60.1,High
7.3,8.6,3.0,90,9,100.0,Low
7.1,5.2,3.8,45,5,71.5,Low
6.1,6.9,3.2,90,8,96.8,Low
10.0,8.2,2.3,0,1,80.2,Medium
7.9,12.1,6.4,0,1,52.2,High
4.2,4.4,8.9,30,4,49.1,Medium
7.3,10.1,5.5,30,8,81.3,Medium
6.1,7.9,2.2,0,3,68.3,Medium
8.2,9.3,8.1,45,1,57.3,High
5.9,7.3,10.2,15,9,73.9,Medium
6.8,5.6,4.4,0,9,82.0,Low
7.7,9.2,4.8,15,9,87.5,Medium
8.2,8.9,7.3,30,9,81.8,Low
5.3,9.6,10.1,45,2,52.5,High
6.5,7.5,4.7,30,4,69.7,Medium
6.3,6.2,2.7,30,2,58.2,Low
6.1,4.1,7.6,0,7,58.9,Medium
9.5,9.3,8.0,60,3,78.6,Medium
7.6,8.4,6.0,60,9,95.8,Low
5.2,5.4,4.6,30,7,70.2,Low
8.3,6.3,8.5,0,8,73.2,Low
10.0,6.5,7.3,30,9,89.8,Low
8.4,4.2,4.1,30,8,88.7,Low
4.9,5.7,6.1,90,7,65.0,Low
6.3,5.0,2.6,90,9,87.7,Low
8.8,6.6,7.7,60,1,64.1,Medium
6.0,5.9,5.3,0,4,51.8,Medium
7.6,3.9,4.9,90,4,70.8,Low
8.1,11.9,5.9,30,5,66.9,High
5.7,10.3,6.1,45,8,78.2,Medium
6.9,5.8,8.2,15,10,74.5,Low
3.5,8.1,7.5,15,1,40.9,High
5.6,8.4,5.6,30,6,70.2,Medium
6.6,10.1,7.9,0,9,76.5,Medium
5.3,5.7,7.0,15,10,72.8,Low
9.3,9.9,4.9,60,8,100.0,Low
5.0,6.3,5.7,0,2,54.4,High
6.4,4.6,5.6,0,7,65.2,Low
7.2,9.1,7.3,0,5,64.1,High
9.0,10.3,5.1,15,2,67.6,Medium
5.0,13.2,5.0,90,1,63.9,High
8.6,4.9,10.9,0,2,44.3,Medium
7.0,9.0,8.3,0,10,79.1,Medium
5.6,6.6,4.1,60,6,77.5,Low
7.6,9.2,7.4,60,8,86.8,Low
7.3,4.3,6.3,0,3,54.9,Medium
6.2,4.7,7.0,45,5,68.2,Medium
7.1,5.8,6.3,30,2,59.4,Medium
6.5,7.7,9.0,45,8,75.4,Medium
7.2,6.1,6.9,30,4,68.5,Medium
7.9,8.9,5.8,90,10,96.8,Low
9.2,9.8,8.6,0,6,75.6,Medium
5.3,8.8,6.6,0,3,53.7,High
10.0,11.1,6.3,15,8,93.0,Low
4.3,8.4,6.8,15,8,74.7,Medium
6.8,4.8,5.8,60,3,61.5,Low
7.8,10.5,6.0,30,9,82.5,Medium
7.4,6.2,4.5,0,10,80.0,Low
6.1,9.5,4.1,15,5,72.3,Medium
6.7,11.0,3.5,15,10,79.8,Medium
6.3,8.5,2.5,90,9,99.4,Low
6.2,4.2,3.8,30,7,70.1,Low
8.2,5.5,5.6,30,10,91.5,Low
7.5,10.4,6.3,45,3,66.7,High
6.0,7.1,5.3,45,6,72.7,Low
8.3,7.7,1.0,30,10,100.0,Low
7.4,9.2,9.9,0,2,47.0,High
8.1,9.0,8.7,60,6,79.6,Medium
7.9,8.1,7.1,45,5,85.6,Medium
5.8,7.0,10.8,45,3,54.4,High
6.2,6.8,3.6,90,7,86.0,Low
8.0,9.4,10.7,45,4,58.9,High
7.9,8.7,3.6,45,6,91.9,Low
7.0,6.9,6.6,90,9,85.1,Low
7.2,9.9,2.8,0,6,79.7,Medium
8.8,7.2,6.0,30,4,79.5,Low
6.2,5.6,7.0,30,10,74.1,Low
7.8,5.8,5.6,15,2,57.0,Medium
6.7,5.3,7.8,45,9,70.5,Low
6.7,6.9,6.2,45,4,74.9,Medium
8.5,10.2,4.7,45,4,85.2,Medium
8.2,5.7,4.6,90,2,80.5,Low
8.1,7.9,8.0,0,5,77.9,Medium
8.8,6.1,4.4,45,6,82.9,Low
7.0,6.9,8.3,30,10,74.7,Low
8.0,4.2,9.1,15,6,68.1,Low
6.6,7.0,1.8,0,3,74.7,Medium
7.5,7.1,8.8,60,9,87.0,Low
6.8,8.7,11.2,30,7,62.0,High
7.1,8.0,6.6,45,3,69.6,High
7.8,4.9,7.5,30,4,62.6,Low
5.9,9.9,8.6,0,7,62.9,High
9.9,8.0,5.3,15,8,92.8,Low
5.6,7.9,6.5,15,6,61.7,High
5.3,7.5,2.7,90,4,75.7,Low
8.6,6.4,6.3,0,2,51.3,High
8.1,8.0,7.2,90,10,97.7,Low
7.9,8.5,7.3,90,8,88.5,Low
7.9,3.7,8.7,90,1,48.5,Low
7.0,6.3,4.1,30,9,89.1,Low
5.7,6.9,4.7,90,8,85.0,Low
7.1,8.1,10.7,15,3,54.2,High
6.1,10.1,5.6,0,10,86.3,Medium
8.4,5.8,6.5,0,4,64.8,Medium
6.8,6.4,5.8,60,10,91.2,Low
5.8,6.4,3.9,0,4,59.6,Medium
6.6,5.7,10.1,30,2,47.7,High
7.6,6.7,4.7,0,10,88.8,Low
6.2,9.2,3.2,0,5,73.3,Medium
5.8,5.2,4.9,0,3,49.8,Medium
7.3,8.4,1.0,60,1,74.1,Medium
7.3,3.8,4.4,30,2,56.6,Low
6.3,6.3,3.6,60,7,88.3,Low
6.3,6.8,7.5,30,1,46.3,High
7.3,11.2,4.3,90,2,78.2,Medium
5.0,6.9,8.2,30,10,71.4,Medium
5.0,2.7,9.5,30,7,49.1,Low
6.0,3.1,8.0,30,1,42.5,Medium
6.7,7.6,5.5,30,7,78.8,Medium
7.4,8.9,6.4,45,8,84.2,Medium
9.1,8.3,2.2,30,2,88.5,Low
8.2,7.9,5.7,45,4,83.2,Low
6.8,10.1,3.8,45,7,86.5,Medium
7.0,6.3,7.7,0,1,48.8,High
5.6,9.5,12.4,30,6,53.3,High
7.0,3.9,7.2,0,5,51.9,Low
6.6,5.5,1.0,30,6,80.5,Low
7.5,3.5,5.1,30,8,75.6,Low
5.8,6.9,6.3,90,1,60.2,Medium
7.7,7.4,6.2,0,3,66.8,High
9.1,7.8,4.2,0,9,100.0,Low
6.8,7.6,6.6,0,8,71.6,Medium
7.6,5.5,2.9,15,4,70.2,Low
8.0,7.1,3.6,45,10,100.0,Low
6.4,4.2,7.6,45,9,81.6,Low
7.3,10.5,3.5,45,7,81.3,Medium
7.0,6.8,7.3,60,2,59.5,Medium
7.1,6.4,2.6,15,1,59.3,Medium
5.9,11.0,10.4,0,1,29.2,High
7.0,4.8,4.1,0,3,61.3,Low
7.7,5.0,5.4,60,10,92.2,Low
9.0,5.1,6.8,45,2,63.3,Low
8.3,7.4,4.6,30,4,77.5,Low
10.0,8.4,6.4,15,8,92.6,Low
5.9,9.1,7.4,15,5,60.9,High
8.2,13.2,8.4,90,5,70.2,High
7.3,2.6,8.0,0,6,60.2,Low
10.1,8.8,5.6,45,5,85.2,Low
5.9,6.3,5.6,15,5,63.6,Medium
5.8,6.2,11.9,0,7,52.4,High
6.2,6.1,8.4,45,6,62.8,Low
4.0,5.5,3.7,15,10,75.8,Low
6.3,11.2,6.2,45,2,47.5,High
5.9,9.4,5.2,45,1,61.0,High
7.2,7.6,5.7,30,1,58.7,High
7.5,10.5,2.9,45,4,74.9,Medium
9.6,4.2,5.0,30,2,66.2,Low
8.3,4.6,10.5,0,6,52.9,Medium
6.2,2.7,7.4,45,9,72.3,Low
5.7,6.0,1.0,30,10,89.0,Low
7.7,7.9,9.0,0,10,93.0,Medium
5.2,7.7,8.7,60,8,75.8,Medium
9.6,7.8,5.1,30,4,81.6,Low
8.7,4.4,7.8,60,2,59.2,Low
6.3,9.3,3.9,60,1,66.1,High
4.6,8.0,4.8,15,7,79.8,High
8.9,9.1,9.7,30,10,91.0,Medium
6.8,3.3,5.3,15,3,57.2,Low
8.7,8.2,1.3,15,6,93.4,Low
4.8,4.9,5.8,60,5,58.6,Low
6.2,6.6,5.8,45,5,72.4,Low
7.0,8.7,9.0,0,2,58.3,High
7.1,7.7,6.0,30,9,86.7,Medium
6.4,5.6,4.9,90,4,69.2,Low
7.9,7.5,8.6,30,10,82.5,Low
5.5,4.1,6.3,45,1,38.8,Medium
6.8,10.0,4.1,45,2,65.3,High
7.2,7.0,8.9,15,9,75.6,Low
7.7,10.0,6.5,15,7,77.1,Medium
8.0,6.3,6.0,45,10,93.8,Low
5.4,6.3,6.4,30,2,51.0,High
4.9,5.8,3.3,30,7,80.3,Low
8.8,9.4,4.7,45,4,76.6,Low
7.5,5.9,6.0,45,10,91.2,Low
6.0,8.9,5.5,0,2,52.5,High
9.2,6.7,9.2,0,4,61.8,Medium
7.2,3.2,6.5,0,5,57.8,Low
8.7,6.2,8.1,30,4,72.1,Low
7.1,4.9,6.0,15,3,56.8,Medium
9.9,7.6,8.6,30,6,82.4,Low
9.5,4.9,7.0,0,1,62.0,Medium
6.7,9.5,6.0,30,8,75.5,Medium
8.4,7.3,6.0,15,5,79.8,Medium
7.9,7.1,3.6,30,8,88.7,Low
8.9,8.9,7.3,15,10,92.8,Low
5.6,9.6,5.9,0,4,61.9,High
8.0,7.5,4.7,60,4,76.3,Low
8.5,5.8,8.8,0,5,60.9,Medium
4.5,3.6,2.9,30,5,62.2,Low
5.3,6.0,4.9,60,6,70.6,Low
4.1,6.1,8.6,30,5,48.3,High
6.6,7.7,6.8,60,5,74.8,Medium
8.0,6.7,5.9,0,8,77.1,Low
9.1,9.0,6.6,30,6,78.4,Medium
7.1,6.2,6.4,30,2,49.8,Medium
9.3,7.4,2.2,0,4,86.6,Low
5.1,10.1,5.1,15,4,60.6,High
4.6,8.3,10.0,15,5,55.2,High
6.9,7.4,4.4,30,6,84.9,Low
7.5,6.2,5.2,60,5,76.1,Low
7.0,6.1,4.6,0,6,72.2,Low
4.1,5.6,5.8,15,8,65.9,Medium
6.9,6.3,4.5,15,4,66.0,Low
5.2,9.2,7.2,30,3,50.2,High
7.9,7.0,6.5,45,9,84.3,Low
7.5,4.5,7.9,15,3,53.4,Medium
5.7,11.4,3.4,0,8,79.6,Medium
6.3,8.2,5.1,45,10,98.1,Low
5.5,4.4,5.4,60,5,62.1,Low
6.9,6.5,7.1,30,9,80.8,Low
8.3,7.7,4.0,30,3,85.4,Low
5.6,11.3,8.3,0,10,71.6,High
7.7,5.1,9.0,0,10,74.6,Low
6.3,9.6,3.5,0,8,82.2,Medium
5.9,10.6,4.8,15,7,75.4,High
6.9,6.1,4.7,60,7,77.2,Low
5.6,6.9,12.6,30,10,68.6,Medium
6.2,5.2,4.9,0,9,77.2,Low
5.3,7.1,10.2,0,8,65.5,High
9.8,7.4,2.8,15,3,86.2,Low
7.0,9.0,3.5,30,6,86.5,Low
6.0,9.9,4.3,15,6,69.2,Medium
7.3,5.9,3.9,15,5,71.0,Low
6.8,3.2,5.3,30,3,55.8,Low
6.7,7.5,4.2,0,9,83.1,Low
7.9,8.1,4.0,0,7,89.7,Low
8.1,8.0,8.9,0,4,59.8,High
6.3,6.8,9.1,0,6,59.9,Medium
6.2,7.8,8.4,0,5,59.4,High
6.6,10.8,7.3,15,1,47.0,High
3.8,8.3,6.2,45,2,47.8,High
4.9,6.7,4.8,45,1,54.8,Medium
8.9,6.4,3.6,30,9,96.3,Low
9.3,7.1,6.9,60,9,100.0,Low
6.7,11.1,3.1,0,5,81.3,Medium
7.8,7.1,3.5,60,8,90.6,Low
7.4,7.5,8.9,15,10,74.5,Low
11.0,6.4,10.8,15,4,64.4,Medium
8.6,9.9,7.0,15,1,60.3,High
6.8,11.8,8.8,0,4,57.4,High
5.7,8.5,5.4,90,7,81.8,Medium
4.8,7.7,2.7,0,2,62.8,High
7.3,7.6,7.5,15,2,56.7,High
5.9,2.3,7.4,15,6,49.5,Low
5.0,9.1,6.2,0,9,74.3,High
6.1,7.8,5.4,0,3,62.4,High
5.5,8.4,8.4,0,7,65.0,High
9.4,5.9,3.5,0,10,92.7,Low
8.2,6.7,4.1,60,9,100.0,Low
7.0,6.6,3.5,15,9,93.0,Low
9.1,9.7,6.2,0,4,77.7,Medium
7.1,6.7,3.3,30,2,65.9,Medium
5.8,12.1,4.3,90,1,60.9,High
9.1,8.4,4.2,0,6,84.7,Low
7.8,4.7,5.3,0,5,62.7,Low
5.5,7.2,2.3,90,6,87.2,Low
6.7,6.1,6.2,0,7,62.0,Medium
5.8,2.7,9.1,30,9,62.7,Low
5.1,11.0,6.3,0,10,68.5,High
8.3,9.0,9.9,60,10,86.7,Low
9.7,8.7,9.3,90,6,77.3,Low
5.0,7.9,7.9,45,6,74.1,Medium
7.8,4.5,6.2,15,3,61.7,Low
6.1,6.4,6.1,15,8,74.5,Low
6.3,9.4,7.9,0,9,71.2,High
6.2,5.2,5.0,60,1,52.3,Low
5.8,1.9,1.3,60,6,69.5,Low
7.1,7.0,7.2,15,7,75.3,Medium
5.8,7.2,3.2,30,8,83.5,Low
7.4,7.8,3.6,0,10,96.6,Low
6.9,9.1,6.0,15,8,87.7,Medium
6.7,8.9,5.8,30,7,74.6,Medium
5.7,8.1,2.5,15,8,87.1,Low
6.2,10.1,6.4,15,9,84.6,Medium
8.1,4.2,8.4,0,10,73.3,Low
7.7,8.6,3.2,45,7,91.2,Low
5.6,8.9,9.2,60,3,58.5,High
7.1,4.8,2.1,90,9,98.1,Low
8.1,4.2,11.3,45,1,47.9,High
4.7,5.9,5.0,30,8,72.0,Low
7.8,6.0,6.4,0,6,67.7,Low
6.1,9.2,1.3,90,3,83.6,Low
7.8,6.1,5.8,30,9,81.9,Low
5.9,5.6,6.6,30,6,66.4,Low
4.5,6.2,5.8,30,7,66.8,Medium
4.7,10.0,4.6,45,2,57.7,High
7.1,7.5,3.6,0,1,63.3,High
7.4,7.1,8.8,0,1,54.6,High
5.7,7.3,6.1,30,3,63.5,Medium
7.9,10.3,9.9,60,3,64.1,High
4.7,5.9,4.7,30,8,70.5,Low
6.9,10.4,4.9,15,7,70.6,Medium
5.3,8.0,8.0,15,10,75.9,Medium
6.1,7.1,1.9,45,8,92.0,Low
7.1,13.0,3.0,45,1,62.0,High
5.8,5.2,8.7,30,4,50.1,Medium
6.5,6.7,3.1,0,8,83.3,Low
8.4,4.8,1.5,60,10,100.0,Low
6.2,9.6,10.7,30,2,47.4,High
8.2,11.2,2.5,45,7,82.3,Medium
5.4,11.2,6.5,0,8,70.1,High
7.7,10.2,6.2,15,9,86.4,Medium
9.0,7.1,1.0,60,7,100.0,Low
3.5,6.7,5.3,0,9,65.3,Medium
5.9,3.8,7.1,30,2,43.6,Medium
7.8,12.0,6.9,30,1,55.8,High
6.7,8.5,8.3,45,1,55.9,High
7.5,6.4,5.0,0,4,74.3,Medium
6.2,10.4,7.8,0,1,44.6,High
7.1,5.4,4.3,60,7,81.1,Low
6.8,8.4,2.5,30,8,89.5,Low
8.6,7.1,2.8,0,3,82.9,Low
7.4,8.9,2.3,0,1,69.7,High
7.5,7.4,8.5,90,3,75.8,Medium
6.4,4.3,2.2,0,2,69.6,Low
6.3,7.7,6.7,30,6,69.7,Medium
6.4,9.8,5.3,15,7,79.7,Medium
7.6,7.4,5.7,60,9,91.6,Low
6.4,9.2,9.4,45,5,60.7,High
7.4,5.2,4.9,30,4,61.9,Low
9.9,7.4,7.5,0,1,73.3,Medium
8.2,6.1,6.1,60,6,84.6,Low
6.5,9.1,5.6,15,8,78.7,Medium
8.7,7.6,11.7,60,4,69.1,Medium
6.4,9.0,2.4,30,1,59.6,High
4.1,9.9,9.2,30,5,51.2,High
5.6,9.0,7.6,0,10,72.9,High
4.4,8.1,4.8,45,5,74.9,Medium
6.5,5.3,10.1,15,2,49.4,High
7.0,7.5,1.4,15,6,90.0,Low
9.3,6.3,4.7,0,10,98.6,Low
7.5,6.7,3.0,0,9,87.3,Low
6.7,6.7,7.0,0,6,70.0,Medium
8.2,5.3,3.2,15,8,81.0,Low
3.9,3.2,7.1,60,10,58.9,Low
7.3,6.0,5.5,15,3,62.9,Medium
8.1,7.9,4.8,45,10,100.0,Low
4.9,4.5,7.0,0,2,42.9,High
8.6,7.5,5.3,30,4,73.4,Low
7.5,11.7,3.3,30,9,82.9,Medium
6.4,9.8,13.0,90,9,69.5,Medium
7.9,11.1,4.8,45,3,67.2,Medium
10.2,8.4,1.0,30,1,89.1,Low
7.3,10.1,3.9,45,1,62.1,High
7.3,5.9,2.8,0,4,79.0,Low
6.4,6.1,8.1,30,4,59.9,Medium
5.8,1.5,6.8,0,10,60.6,Low
8.2,10.1,7.0,15,6,70.0,Medium
5.8,10.9,5.1,0,5,57.9,High
7.1,6.3,5.3,45,6,75.7,Low
6.3,6.9,5.1,30,10,84.8,Low
7.7,5.8,5.8,45,7,72.9,Low
7.5,8.3,8.1,30,7,83.0,Medium
8.5,10.0,6.8,0,10,83.1,Low
6.3,3.7,7.3,45,10,75.2,Low
6.6,8.4,7.2,45,9,85.9,Medium
5.6,6.9,8.2,60,6,60.8,Medium
6.4,7.7,6.7,30,8,78.0,Medium
7.5,8.5,6.9,45,2,60.3,High
8.1,7.1,9.0,45,8,82.2,Low
5.7,7.3,4.3,0,9,81.5,Low
